Date,Broilers_sweight
1983-01,4.1
1983-02,4.1
1983-03,4.1
1983-04,4.2
1983-05,4.1
1983-06,4.1
1983-07,4.0
1983-08,4.0
1983-09,4.0
1983-10,4.1
1983-11,4.1
1983-12,4.1
1984-01,4.1
1984-02,4.2
1984-03,4.2
1984-04,4.2
1984-05,4.2
1984-06,4.1
1984-07,4.1
1984-08,4.1
1984-09,4.2
1984-10,4.2
1984-11,4.2
1984-12,4.2
1985-01,4.2
1985-02,4.2
1985-03,4.2
1985-04,4.2
1985-05,4.2
1985-06,4.2
1985-07,4.1
1985-08,4.1
1985-09,4.2
1985-10,4.2
1985-11,4.2
1985-12,4.3
1986-01,4.3
1986-02,4.3
1986-03,4.3
1986-04,4.3
1986-05,4.2
1986-06,4.2
1986-07,4.1
1986-08,4.1
1986-09,4.3
1986-10,4.2
1986-11,4.3
1986-12,4.2
1987-01,4.4
1987-02,4.3
1987-03,4.3
1987-04,4.3
1987-05,4.3
1987-06,4.3
1987-07,4.2
1987-08,4.2
1987-09,4.3
1987-10,4.4
1987-11,4.3
1987-12,4.4
1988-01,4.4
1988-02,4.3
1988-03,4.3
1988-04,4.3
1988-05,4.3
1988-06,4.3
1988-07,4.2
1988-08,4.1
1988-09,4.3
1988-10,4.4
1988-11,4.4
1988-12,4.4
1989-01,4.4
1989-02,4.3
1989-03,4.4
1989-04,4.4
1989-05,4.3
1989-06,4.3
1989-07,4.3
1989-08,4.3
1989-09,4.3
1989-10,4.4
1989-11,4.4
1989-12,4.4
1990-01,4.4
1990-02,4.4
1990-03,4.4
1990-04,4.4
1990-05,4.4
1990-06,4.3
1990-07,4.3
1990-08,4.3
1990-09,4.3
1990-10,4.5
1990-11,4.5
1990-12,4.4
1991-01,4.4
1991-02,4.4
1991-03,4.4
1991-04,4.5
1991-05,4.4
1991-06,4.4
1991-07,4.3
1991-08,4.4
1991-09,4.4
1991-10,4.5
1991-11,4.5
1991-12,4.5
1992-01,4.5
1992-02,4.5
1992-03,4.5
1992-04,4.5
1992-05,4.5
1992-06,4.5
1992-07,4.4
1992-08,4.4
1992-09,4.5
1992-10,4.6
1992-11,4.6
1992-12,4.6
1993-01,4.6
1993-02,4.6
1993-03,4.6
1993-04,4.6
1993-05,4.6
1993-06,4.6
1993-07,4.4
1993-08,4.4
1993-09,4.5
1993-10,4.6
1993-11,4.6
1993-12,4.6
1994-01,4.7
1994-02,4.6
1994-03,4.7
1994-04,4.7
1994-05,4.6
1994-06,4.5
1994-07,4.5
1994-08,4.6
1994-09,4.7
1994-10,4.7
1994-11,4.7
1994-12,4.7
1995-01,4.7
1995-02,4.7
1995-03,4.6
1995-04,4.7
1995-05,4.7
1995-06,4.6
1995-07,4.6
1995-08,4.5
1995-09,4.6
1995-10,4.8
1995-11,4.8
1995-12,4.8
1996-01,4.8
1996-02,4.8
1996-03,4.8
1996-04,4.8
1996-05,4.8
1996-06,4.7
1996-07,4.7
1996-08,4.7
1996-09,4.8
1996-10,4.8
1996-11,4.8
1996-12,4.8
1997-01,4.9
1997-02,4.8
1997-03,4.8
1997-04,4.9
1997-05,4.8
1997-06,4.8
1997-07,4.7
1997-08,4.7
1997-09,4.8
1997-10,4.8
1997-11,4.9
1997-12,4.9
1998-01,4.8
1998-02,4.8
1998-03,4.9
1998-04,4.9
1998-05,4.9
1998-06,4.8
1998-07,4.7
1998-08,4.8
1998-09,4.8
1998-10,4.9
1998-11,5.0
1998-12,5.0
1999-01,5.0
1999-02,5.0
1999-03,5.0
1999-04,5.0
1999-05,5.0
1999-06,5.0
1999-07,4.9
1999-08,4.8
1999-09,5.0
1999-10,5.0
1999-11,5.0
1999-12,5.0
2000-01,5.0
2000-02,5.0
2000-03,5.0
2000-04,5.0
2000-05,5.0
2000-06,5.0
2000-07,5.0
2000-08,4.9
2000-09,5.0
2000-10,5.0
2000-11,5.1
2000-12,5.1
2001-01,5.0
2001-02,5.0
2001-03,5.0
2001-04,5.1
2001-05,5.1
2001-06,5.0
2001-07,5.0
2001-08,5.0
2001-09,5.1
2001-10,5.1
2001-11,5.1
2001-12,5.1
2002-01,5.1
2002-02,5.1
2002-03,5.1
2002-04,5.1
2002-05,5.1
2002-06,5.1
2002-07,5.1
2002-08,5.1
2002-09,5.1
2002-10,5.2
2002-11,5.2
2002-12,5.2
2003-01,5.2
2003-02,5.2
2003-03,5.1
2003-04,5.2
2003-05,5.2
2003-06,5.2
2003-07,5.1
2003-08,5.1
2003-09,5.2
2003-10,5.3
2003-11,5.2
2003-12,5.3
2004-01,5.3
2004-02,5.2
2004-03,5.2
2004-04,5.2
2004-05,5.2
2004-06,5.3
2004-07,5.2
2004-08,5.3
2004-09,5.3
2004-10,5.4
2004-11,5.4
2004-12,5.3
2005-01,5.4
2005-02,5.3
2005-03,5.3
2005-04,5.4
2005-05,5.4
2005-06,5.3
2005-07,5.3
2005-08,5.3
2005-09,5.4
2005-10,5.5
2005-11,5.5
2005-12,5.5
2006-01,5.5
2006-02,5.5
2006-03,5.4
2006-04,5.5
2006-05,5.5
2006-06,5.5
2006-07,5.4
2006-08,5.4
2006-09,5.5
2006-10,5.6
2006-11,5.5
2006-12,5.5
2007-01,5.5
2007-02,5.4
2007-03,5.5
2007-04,5.5
2007-05,5.5
2007-06,5.5
2007-07,5.5
2007-08,5.4
2007-09,5.5
2007-10,5.6
2007-11,5.6
2007-12,5.6
2008-01,5.6
2008-02,5.5
2008-03,5.6
2008-04,5.6
2008-05,5.6
2008-06,5.6
2008-07,5.5
2008-08,5.6
2008-09,5.6
2008-10,5.7
2008-11,5.6
2008-12,5.6
2009-01,5.6
2009-02,5.5
2009-03,5.6
2009-04,5.6
2009-05,5.6
2009-06,5.5
2009-07,5.5
2009-08,5.6
2009-09,5.6
2009-10,5.7
2009-11,5.7
2009-12,5.7
2010-01,5.6
2010-02,5.6
2010-03,5.6
2010-04,5.7
2010-05,5.7
2010-06,5.6
2010-07,5.6
2010-08,5.6
2010-09,5.7
2010-10,5.9
2010-11,5.9
2010-12,5.9
2011-01,5.9
2011-02,5.8
2011-03,5.8
2011-04,5.8
2011-05,5.8
2011-06,5.8
2011-07,5.8
2011-08,5.8
2011-09,5.9
2011-10,5.9
2011-11,5.8
2011-12,5.8
2012-01,5.8
2012-02,5.8
2012-03,5.8
2012-04,5.8
2012-05,5.8
2012-06,5.9
2012-07,5.8
2012-08,5.8
2012-09,5.9
2012-10,6.0
2012-11,6.0
2012-12,5.9
2013-01,5.9
2013-02,5.9
2013-03,5.9
2013-04,5.9
2013-05,5.9
2013-06,5.9
2013-07,5.8
2013-08,5.9
2013-09,6.0
2013-10,6.0
2013-11,6.0
2013-12,6.0
2014-01,6.0
2014-02,6.0
2014-03,6.0
2014-04,6.0
2014-05,6.0
2014-06,6.0
2014-07,6.0
2014-08,6.0
2014-09,6.0
2014-10,6.1
2014-11,6.1
2014-12,6.1
2015-01,6.1
2015-02,6.1
2015-03,6.1
2015-04,6.1
2015-05,6.1
2015-06,6.1
2015-07,6.0
2015-08,6.1
2015-09,6.2
2015-10,6.2
2015-11,6.2
2015-12,6.1
2016-01,6.2
2016-02,6.2
2016-03,6.2
2016-04,6.2
2016-05,6.2
2016-06,6.1
2016-07,6.1
2016-08,6.1
2016-09,6.2
2016-10,6.2
2016-11,6.2
2016-12,6.2
2017-01,6.2
2017-02,6.2
2017-03,6.2
2017-04,6.2
2017-05,6.2
2017-06,6.2
2017-07,6.1
2017-08,6.2
2017-09,6.3
2017-10,6.3
2017-11,6.3
2017-12,6.3
2018-01,6.3
2018-02,6.2
2018-03,6.2
2018-04,6.3
2018-05,6.3
2018-06,6.2
2018-07,6.2
2018-08,6.3
2018-09,6.3
2018-10,6.3
2018-11,6.3
2018-12,6.2
2019-01,6.3
2019-02,6.2
2019-03,6.2
2019-04,6.3
2019-05,6.3
2019-06,6.3
2019-07,6.3
2019-08,6.3
2019-09,6.4
2019-10,6.4
2019-11,6.4
2019-12,6.4
2020-01,6.4
2020-02,6.3
2020-03,6.3
2020-04,6.4
2020-05,6.5
2020-06,6.5
2020-07,6.3
2020-08,6.4
2020-09,6.5
2020-10,6.5
2020-11,6.4
2020-12,6.4
2021-01,6.4
2021-02,6.4
2021-03,6.4
2021-04,6.4
2021-05,6.5
2021-06,6.5
2021-07,6.5
2021-08,6.5
2021-09,6.6
2021-10,6.6
2021-11,6.5
2021-12,6.4
2022-01,6.5
2022-02,6.5
2022-03,6.4
2022-04,6.4
2022-05,6.4
2022-06,6.4
2022-07,6.4
2022-08,6.5
2022-09,6.6
2022-10,6.6
2022-11,6.6
2022-12,6.6
2023-01,6.5
2023-02,6.5
2023-03,6.5
2023-04,6.5
2023-05,6.5
2023-06,6.5
2023-07,6.5
2023-08,6.5
2023-09,6.6
2023-10,6.7
2023-11,6.6
2023-12,6.6
2024-01,6.604331000749979
2024-02,6.572888505848854
2024-03,6.562925577709416
2024-04,6.584144180670476
2024-05,6.594819450870754
2024-06,6.578563299334839
2024-07,6.540755823380434
2024-08,6.572415946171036
2024-09,6.640241264441798
2024-10,6.667340774270747
2024-11,6.633817209731489
2024-12,6.610595096063456
2025-01,6.614638120915717
2025-02,6.583591953883139
2025-03,6.573616422661135
2025-04,6.594228228708417
2025-05,6.604499222848745
2025-06,6.588354233869077
2025-07,6.551070620893185
2025-08,6.581929325132092
2025-09,6.648263834199253
2025-10,6.674651344367188
2025-11,6.64157451420348
2025-12,6.618603582749363
2026-01,6.622378315052929
2026-02,6.591735008307894
2026-03,6.581761130933654
2026-04,6.601791659538566
2026-05,6.611679947135768
2026-06,6.595657765711106
2026-07,6.558901698434937
2026-08,6.588987891218179
2026-09,6.653873580920268
2026-10,6.679576129714091
2026-11,6.646950866612841
2026-12,6.624239604562527
2027-01,6.627764371673397
2027-02,6.597529358585376
2027-03,6.5875701512391736
2027-04,6.607043471830597
2027-05,6.616569253509566
2027-06,6.6006803509455
2027-07,6.564454496093669
2027-08,6.593795592495922
2027-09,6.657272716432161
2027-10,6.682315896953407
2027-11,6.650146017950575
2027-12,6.627701832554808
2028-01,6.630993699455861
2028-02,6.601171402655541
2028-03,6.591238731383528
2028-04,6.610177557561976
2028-05,6.6193597573245295
2028-06,6.603613519381646
2028-07,6.567919612428105
2028-08,6.596541628949403
2028-09,6.6586488022032375
2028-10,6.683056854149894
2028-11,6.651345243828637
2028-12,6.629174546445147
2029-01,6.632249402898462
2029-02,6.6028433162501035
2029-03,6.592947981225534
2029-04,6.61137375858141
2029-05,6.6202301097437095
2029-06,6.604634918560222
2029-07,6.569473842340632
2029-08,6.597401484080236
2029-09,6.658175774615063
2029-10,6.681971669875577
2029-11,6.65072035756689
2029-12,6.628828641719036
2030-01,6.6317012833974855
2030-02,6.602714048075405
2030-03,6.5928658619460245
2030-04,6.610798849921721
2030-05,6.619345975156937
2030-06,6.6039092853785055
2030-07,6.569281142998174
2030-08,6.596537884985537
2030-09,6.656014899141767
2030-10,6.679220421625887
2030-11,6.6484306530308865
2030-12,6.626822566896003
2031-01,6.629506770910142
2031-02,6.600940245991122
2031-03,6.591148106723119
2031-04,6.60860745492843
2031-05,6.616860940821125
2031-06,6.601589350340684
2031-07,6.567493532777435
2031-08,6.594101695860548
2031-09,6.6523156583536425
2031-10,6.6749514784554265
2031-11,6.644623782079425
2031-12,6.623303195795126
2032-01,6.625811791002617
2032-02,6.597667118957545
2032-03,6.587939077558056
2032-04,6.604942896920033
